ABBREVIATION	MEANING
USC	University of San Carlos
SVD	Society of the Divine Word
PAASCU	"Philippine Accrediting Association of Schools, Colleges, and Universities"
PTC-ACBET	Philippine Technological Council-Accreditation and Certification Board for Engineering and Technology
CHED	Commission on Higher Education
COE	Center of Excellence
COD	Center of Development
QS	Quacquarelli Symonds
IPQA	Institutional Planning and Quality Assurance
PAMS	Office of the Presidential Assistant for Mission and Spirituality
OVPAA	Office of the Vice President for Academic Affairs
RDEPO	"Research, Development, Extension and Publications Office"
ERIO	External Relations and Internationalization Office
CES	Community Extension Services
NSTP	National Service Training Program
VPAd	Vice President for Administration
IRMO	Information Resources Management Office
SASO	Student Affairs and Services Office
OAP	Office of Administrator of Properties
DPO	Data Privacy Office
HRMO	Human Resource Management Office
OAASJP	"Office of Alumni Affairs, Scholarship and Job Placement"
ONES	"Office of Naming Rights, Endowments and Scholarships"
OSFA	Office of Student Formation and Activities
CDC	Counselling and Development Center
HSO	Health Services Office
PAG	Performing Arts Group
ARC	Athletics and Recreation Center
PPFO	Physical Plant and Facilities Office
VPF	Vice President for Finance
SAFAD	"School of Architecture, Fine Arts, and Design"
SAS	School of Arts and Sciences
SBE	School of Business and Economics
SOE	School of Engineering
SHCP	School of Healthcare Professions
SOE	School of Engineering
SLG	School of Law and Governance
BED	Basic Education
DASH	"Department of Anthropology, Sociology, and History"
DCISM	"Department of Computer, Information Sciences, and Mathematics"
DCLL	"Department of Communications, Linguistics, and Literature"
DCPE	Department of Computer Engineering
DEEE	Department of Electrical and Electronics Engineering
ORA	University Office of Recruitment and Admissions
CAE	College Admission Examinations
HCCH	Hague Conference on Private International Law
CTC	Certificate of Transfer Credentials
NBCR	Native Born Certificate of Registration
ACR	Alien Certificate of Registration
SSP	Special Study Permit 
PHS	Personal History Statement
ISMIS	Integrated School Management Information System
TOR	Transcript of Records
MAR	Maximum Allowable Residency
EDM	Education with a Mission
TPE	Physical Education
GPA	Grade Point Average
CWTS	Civic Welfare Training Service
LTS	Literacy Training Service
ROTC	Reserve Officers Training Corps
INC	Incomplete
NC	No credit
CHL	Carolinian Honor's List
CLG	Carolinian Lifestyle Guide
SSC	Supreme Student Council
AGC	Awards and Graduation Committee 
PWD	Persons with Disabilities
SDM	Student Development Mentors
SDEVCOM	Student Development Committee
SDO	Student Discipline Officer 
SDC	Student Discipline Committee
